characterName,summary,mainstats,substats,talents,set,resources,image,element
albedo,"Decent geo off field dps, generally part of a mono geo team or double geo core. Use Harbinger of Dawn R5 if you don't own Cinnabar Spindle. Avoid using his burst outside of Hu Tao double geo since he has split scalings.",Def/Geo/Crit,CR=CD>Def%>Def,E>Q,"4pc Husk, 2pc 2pc Husk/Petra",,,
aloy,who?,Atk/Cryo/Crit,CR=CD>ATK%>ER,Q>E,"4pc Blizzard Strayer/Noblesse Oblige, 2pc 2pc BS/NO/Atk%",,,
amber,"Premiere pyro support for vv tao teams, provides fast pyro application, easy instructor and elegy procs. Essentially useless outside of this niche.",ER//,ER>>>>>,Not Needed,4pc Instructor,,,
ayaka,"Top tier cryo dps for freeze teams, has flexible teammate options and amenoma as a powerful f2p weapon. Rev melt and mono cryo teams being a more niched boss only team.",Atk/Cryo/CD or Atk,CD>ER>ATK%>ER,Q>NA>E,4pc Blizzard Strayer,,,
ayato,"Decent hydro on field driver for taser teams and soup teams. Performs quite a bit worse than Childe in Xiangling vape and Mona/Kokomi in freeze.  When playing with Bennett its not advised to snapshot his burst due to long animation taking up too much buff uptime. Usable in taser and freeze teams, being slightly worse than other options. Jack of all trades, master of none.",Atk or ER/Hydro/Crit,CR=CD>ATK%>ER,E>Q,4pc HoD/Gladiator/Echoes,,,
barbara,"When better options aren't available, can fill the healer slot while giving your carry 48% atk with TTDS. Off-field hydro application in freeze if you hug the enemies and with some downtime. Off-field or on-field hydro application in taser but without Kokomi's damage. Last resort option, but usable.",HP/HP/HB,ER>HP%>HP,E>Q,4pc OHC,,,
beidou,"Strong off-field electro dps in two target or greater situations but falls off hard in single target. Is generally reliant on a great driver to proc her burst and Fischl to battery her burst. Perfect parries can reduce er reqs, but isn't necessary. Functions best in EC teams with fischl, a hydro and an anemo.",Atk/Electro/Crit,CR=CD>ATK%>ER,Q>E,"4pc EoSF, 2pc 2pc Atk%/TF/NO",,,
bennett,bennett,ER/Pyro/Crit or ER/HP/HB,ER>>>> CR=CD > Atk% ,Q>>>> E >= NA,"4pc Noblesse Oblige, 4pc Instructor",,,
childe,"Premier replacement for xingqiu in national creating arguably the best vape team in the game, Childe/Bennett/Xiangling/Kazuha or Sucrose. Not much use elsewhere, better hydro drivers exist for other instances.",Atk/Hydro/Crit,CR=CD>ATK%>=ER>EM,E>Q>>NA,"4pc HoD, 2pc 2pc Atk%/HoD/NO/WT",,,
chongyun,Offers mediocre burst damage and support value. Usable as an elemental shield breaker or alternative in 4* rev melt and freeze. Not much use apart from troll cryo comps.,Atk/Cryo/Crit or ER/Cryo/Crit,CR=CD>ATK%>ER,Q>E,"4pc Noblesse Oblige, 2pc 2pc NO/BS/Atk%",,,
diluc,"Mediocre pyro dps, outshined by XL in AoE, and by Yoimiya and Hutao in ST. ",Atk or EM/Pyro/Crit,CR=CD>EM>=ATK%>ER,NA>E>Q,"4pc CW, 2pc 2pc Atk%/CW/WT",,,
diona,"Diona is mostly limited to freeze and Eula teams as a battery and comfort character, or with Yoimiya in the abscence of a better shielder. While Diona has good energy generation, supports like Rosaria or Shenhe can be better in freeze due to their personal damage or buffs.",HP/HP/HP,ER>=HP>CR (about 20% CR with favge),E>Q,4pc NO,,,
eula,Decent on-field physical DPS with damage centered on her nuke. Struggles against multi-wave and ruin-heavy content due to her extremely backloaded physical damage. Requires very high investment to compete with other characters.,Atk/Phys/Crit,CD>CR>ER>ATK%,Q>NA>>E,"4pc Pale Flame, 2pc 2pc BSC/PF/Atk%/NO",,,
fischl,"Extremely flexible off-field support and battery that does very good single target damage particularly when buffed. Team options include Beidou/Fischl core, Raiden/Fischl core, soup teams, Eula teams.",Atk/Electro/Crit,CR=CD>ATK%>ER>ATK>EM,E>Q,"2pc 2pc TF/Atk%, 4pc ToM",https://docs.google.com/document/d/1Z6Xwdo722AdFfxK5iWasyxZkXB2ORpquNBmz-6ZQaCU/edit?usp=sharing,,
ganyu,"While once considered the best DPS in the game, a lot has changed since then. Ganyu faces competition from Ayaka in freeze teams, with Ayaka being better against most recent abyss. Melt Ganyu, while potentially very strong is hard to pilot and very reliant on Zhongli, particularly in the Kazuha variant making it not highly recomended.",Atk or EM(melt)/Cryo/Crit,"CR=CD>EM>ATK% (Melt), CR=CD>ATK%>=ER (Freeze)",NA>>E (Melt) Q>>NA>E (Freeze),"4pc Blizzard Strayer (Freeze), 4pc Wanderer's Troupe/Shimenawa's (Melt)",https://docs.google.com/spreadsheets/d/1RMkCsQyht765JZlZSPPcbbwcwmcl-htd/edit?usp=sharing&ouid=106131053860683716506&rtpof=true&sd=true,,
gorou,"Only meta use is a support for Itto, Noelle, and Albedo. Even in this role, he is supbar until c6, with other Itto teams being stronger ssuch as Favoritto.",ER/Def/Def,ER>>>>>,E,"4pc Exile, Rainbow ER pieces",,,
heizou,"Decent by nature of being anemo and a catalyst user, meaning he has access to swirl and TTDS. Overall usually worse than Sucrose, but she is a top 5 unit so its not saying much, solid subsitute if you don't have her or need multiple VV users.",Atk/Anemo/Crit or EM/EM/EM,"CR=CD>EM>ATK%>ER (On-field), EM>ER>ATK% (Pure Support)",NA>E>Q (On-field) or Q>E>NA (Pure Support),4pc Viridescent Venerer,,,
hu tao,"Very good single target DPS, but is reliant on cancels, either jump or dash at c0 and c1 respectivelty, as well as xingqiu as a support. Has relatively flexible teams such as vv vape, gouble hydro, and double geo.",Hp or EM/Pyro/Crit,EM(below 100)>CR=CD>EM>=HP%>ATK%,NA>E>Q,"4pc Shimenawa's/Crimson Witch, 2pc 2pc CW/ToM/WT",,,
itto,"Currently the best geo hypercarry, but can also be used as a driver reliant on having 4husk and owning Albedo and Zhongli to perform at his best, but his supports are usually not wanted in other teams.",Def/Geo/Crit,CR=CD>DEF%>ATK%>=ER,NA>Q>E,4pc Husk,,,
